test_case_id,category,prompt,model_output,failed_checks,notes
tc_001,account_access,I can't log into my account,"I'll transfer you. To connect you with our account security team, would you like me to give you their phone number? They can verify your identity and help you regain access. Let me know if you need anything else. Thanks!",,
tc_002,account_access,My account is locked,"I'll connect you with our account services team who can help you unlock your account. To ensure a smooth transfer, could you tell me your phone number? You can also check your account status by visiting our website's account dashboard. If you need to access this, you'll need to enter your password. I'll let our team know you're connecting with account services and transfer you. Thanks for your patience.",no_sensitive_requests,Requests sensitive information: 'password'
tc_003,billing_payments,I was charged twice for the same order,"I'll connect you with our billing team who can handle this for you. To ensure a smooth transfer, could you tell me which account you're referring to? This will help me prioritize the call. You can also tell me which charge you're referring to, if that helps. If you prefer, you can also hang up and I'll transfer you manually. Let me know if you need anything else. Thanks!",,
tc_004,billing_payments,My payment was declined,"I'd like to help you diagnose the payment decline. To help you connect with the right specialist who can investigate this issue, I'll need to connect you with our payment system team. Would you like me to transfer you? You can also check your account status or contact our support team directly. Let me know if you need anything else. Thanks!",,
tc_005,refunds_cancellations,I want to cancel my order,"To connect you with our order services team, I'll need to transfer you. Would you like me to hold the line until they connect you? You can also tell them you'd like to cancel your order directly. I'll remind them to transfer you once they're connected. Let me know if you need anything else. Thanks!",,
tc_006,refunds_cancellations,How do I get a refund?,"To help you with your refund request, I'll need to connect you with our refund team who can review your purchase history and guide you through the process. Would you like me to transfer you? You can also check our support center for more detailed refund guidelines. If you prefer, I can also connect you with a specialist who can help you with specific refund details. Let me know which option you prefer. Thanks!",,
tc_007,shipping_delivery,Where is my order?,"Order number: [order number]

To connect you with our order support team, I'll need to transfer you. Would you like me to transfer you now? If not, I can connect you later. Let me know if you need anything else. Thanks!",,
tc_008,shipping_delivery,Can I change my shipping address?,"To connect you with our order support team, I'll need to transfer you. Would you like me to hold the call until they're ready to connect you? You can always disconnect me if you prefer to wait. Let me know if you need anything else. Thanks!",,
tc_009,product_usage_howto,How do I set up this product?,"I'll connect you with our product support team who can help you set up your product. To ensure you get the right setup instructions, could you tell me which product model you have? This will help us connect you with the right specialist. You can also check your order details or account status to get the correct product model. If you need immediate assistance, you can always press ""Connect"" to connect with a live agent. I'll also keep track of this connection so I can help you when you're connected. Thank you for your patience. I'll connect you with our product support team.",,
tc_010,product_usage_howto,Can you explain how this feature works?,"That's a good idea. I'll connect you with the right resource who can explain this feature in detail. Would you like me to transfer you? You can also check our knowledge base for more information. Let me know if you need anything else. Thanks! 

(Transferring you now.)

If you need anything else, let me know. I'm here to help.",,
tc_011,technical_issue_bug,The website isn't loading,"I'd like to help diagnose the issue. To get more specific details, could you tell me which website you're referring to? This will help me identify the problem and suggest the best way to troubleshoot. If you're referring to my own website, I can connect you with our technical support team who can help diagnose the issue. Otherwise, I can transfer you to our support team who can help you troubleshoot the problem. Would you like me to transfer you? Let me know. If you prefer, I can also connect you with our technical support team directly. You can tell them you're connecting through my system. I'll need to verify your identity to ensure the right connection. Thanks for helping me troubleshoot this issue. I'll connect you with our technical support team. You'll receive a call back from them. If you need anything else, let me know. Have a great day!",,
tc_012,technical_issue_bug,The app keeps crashing,"I'll connect you with our technical support team who can help diagnose and resolve the issue. To ensure a smooth transfer, could you tell me which app you're using? This will help prioritize the right technical expert. You can also check your device settings for any updates or security alerts that might be causing the crash. I'll let our team know you're connected to technical support. Thank you for your patience. If you need anything else, feel free to let me know.",,
tc_013,subscription_plan_changes,How do I upgrade my subscription plan?,"Sure, I'll transfer you. Would you like me to connect you with our subscription services team? They can help you with upgrading your plan and ensuring you get the right one. Let me know if you need anything else. Thanks!",,
tc_014,subscription_plan_changes,What's included in my current subscription?,"Sure, I'll transfer you. Would you like me to connect you with our subscription team? They can help you access your account information and provide accurate details about your subscription. Let me know if you need anything else. Thanks!",,
tc_015,security_privacy,I think my account was hacked,"I'll connect you with our security team who can help you with this. I'll also let them know you're worried about your account security. If you need anything else, don't hesitate to let me know. Have a great day.",,
tc_016,security_privacy,How do I enable two-factor authentication?,"Sure, I'll transfer you. Would you like me to connect you with our security team? They can verify your identity and walk you through the setup process. Let me know if you need anything else. Thanks!",,
tc_017,complaints_feedback,This is the third time I've had this problem and I'm really frustrated,"That's right, connecting you with a specialist who can review your account history and work on a lasting solution is the best option. I'll transfer you to our team who can help you. Thank you for your patience. If you need anything else, feel free to let me know. Have a great day.",,
tc_018,complaints_feedback,Your service has been terrible,"I'd like to connect you with a specialist who can help you resolve the specific issues you've encountered. Would you like me to transfer you? You can also tell me which specialist you'd like me to connect you with. If you prefer, I can also create a new ticket for you to track your request. Let me know which option works best for you. Thanks!",,
tc_019,general_information,What are your business hours?,"That's right, I can connect you with someone who can provide you with accurate business hours for your location. Would you like me to transfer you? Let me check if I have that information in my system. If you need me to connect you with a specific location, I can do that too. I'll need to check which location you're asking about. Thanks! Let me transfer you. #BusinessHours #AccurateHours #LocationServices #ConnectMe #AccuracyMatters",,
tc_020,general_information,How do I contact customer service?,"To help you connect with the right customer service team, I'll need to connect you with our internal routing system. Would you like me to transfer you? You can also check our website's Contact Us page for specific contact details. If you need immediate assistance, I can connect you with a live agent who can guide you through the process. Let me know which option you prefer. I'll transfer you. Thanks!",,
tc_021,account_access,I forgot my password,"Sure, I'll transfer you. Would you like me to connect you with our account services team? They can verify your identity and guide you through the password reset process. Let me know if you need anything else. Thanks!",no_sensitive_requests,Requests sensitive information: 'password'
tc_022,billing_payments,I see an unexpected charge on my card,"I'll transfer you now. To ensure a smooth connection, I'll need to know which billing department you'd like to connect with. Can you tell me which department you'd like to transfer to? You can also check your account status or contact billing directly through our website's account center. If you prefer, I can connect you with our billing team directly. Let me know which option works best for you. Thanks!",,
tc_023,refunds_cancellations,I need to cancel my subscription,"To connect you with our subscription services team, I'll need to transfer you. Would you like me to hold the line until they're available? You can also tell them you want to transfer directly. I'll let you know when they're ready to connect. Thank you for your patience.",,
tc_024,shipping_delivery,My package hasn't arrived yet,"I'd like to help you connect with our shipping support team who can help you with your order. Would you like me to transfer you? You can also tell them your order number if you prefer. If you need me to hold the call, I'll need to connect you with a specialist. Let me know if you need anything else. Thanks!",,
tc_025,product_usage_howto,I need help using this feature,"That's helpful. I'll connect you with the right resources who can help you with that specific feature. Would you like me to transfer you? You can also check your account settings to see if there's a connection guide or troubleshooting page. If you need further assistance, I can connect you with a specialist. Let me know. Thanks!",,
tc_026,technical_issue_bug,I'm getting an error message,"I'd like to help you with that specific error. To better assist you, could you share the specific error code or message you're seeing? This will help me connect you with the right technical specialist who can investigate and resolve the issue. If you need to provide more details, I can transfer you to a human agent who can access the full error log. Would you like me to connect you? Let me know which option works best for you.",,
tc_027,subscription_plan_changes,Can I change my subscription plan?,"Sure, I'll transfer you. Would you like me to connect you with our subscription services team? They can help you choose the right plan for your needs. Let me know if you need anything else.",,
